Suburb,Area,Frequency,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
Albany,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Ashhurst,Palmerston,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Auckland Airport,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Auckland Cbd,Auckland,Weekly,FALSE,TRUE,FALSE,TRUE,FALSE
Avondale,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Beachlands,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Brooklyn,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Bulls,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
Cambridge,Waikato/Hamilton,Fortnightly ,FALSE,TRUE,FALSE,FALSE,FALSE
Carterton,Wellington,Fortnightly,FALSE,FALSE,TRUE,FALSE,FALSE
Chartwell,Waikato/Hamilton,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
City Centre,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Clive,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
Courtney Place,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Dannevirke,Wellington,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
Davenport,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
East Tamaki,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Eastbourne,Wellington,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Eltham,Palmerston,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Eltham,Palmerston,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Epsom,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Featherston,Wellington,4 Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Feilding,Palmerston,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Flat Bush,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Foxton,Palmerston,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Frankton,Waikato/Hamilton,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Glen Innes,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Glenbrook,Auckland,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Glenfield,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Grafton,Auckland,Weekly,FALSE,TRUE,FALSE,TRUE,FALSE
Greenmeadows,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
Haitatai,Wellington,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Hamilton,Waikato/Hamilton,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Hastings,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
Havelock North,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
Hawera,Palmerston,Fortnightly,FALSE,FALSE,TRUE,FALSE,FALSE
Hawkes Bay,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
Helensville,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Henderson,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Hillsborough,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Hobsonville,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Horowhenua,Palmerston,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Howick,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Huntly,Waikato/Hamilton,4-weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Island Bay,Wellington,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Johnsonville,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Kapiti Coast,Wellington,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Karaka,Auckland,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Karori,Wellington,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
Kawerau,Waikato/Hamilton,4-Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Kelburn,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Kelston,Wellington,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
Kilbirnie,Wellington,Weekly,FALSE,TRUE,FALSE,FALSE,FALSE
Kumeu,Auckland,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Leamington,Waikato/Hamilton,Fortnightly ,FALSE,TRUE,FALSE,FALSE,FALSE
Levin,Palmerston,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Linden,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Lower Hutt,Wellington,Weekly,TRUE,FALSE,FALSE,FALSE,FALSE
Mangere,Auckland,Weekly,FALSE,FALSE,FALSE,FALSE,TRUE
Manukau,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Manurewa,Auckland,Weekly,FALSE,FALSE,TRUE,FALSE,FALSE
Martinborough,Wellington,Fortnightly,FALSE,FALSE,TRUE,FALSE,FALSE
Marton,Palmerston,Fortnightly,FALSE,TRUE,FALSE,FALSE,FALSE
Massey University,Palmerston,Weekly,FALSE,FALSE,FALSE,TRUE,FALSE
